CNPJ,RazaoSocial,RegistroANS,Trimestre,Ano,ValorDespesas
,,313149,1,2025,13619611.55
,,313149,2,2025,24314068.31
,,313149,3,2025,34995699.84
,,313211,1,2025,187288103.22
,,313211,2,2025,383750634.31
,,313211,3,2025,551854975.5
,,313475,1,2025,21156834.15
,,313475,2,2025,37243880.05
,,313475,3,2025,58193670.78
,,313751,1,2025,52849621.63
,,313751,2,2025,104820559.49
,,313751,3,2025,161851975.05
,,313971,3,2025,414051801.03000003
,,314099,1,2025,367863177.39
,,314099,2,2025,668279968.51
,,314099,3,2025,982008537.7
,,314218,1,2025,959456878.9300001
,,314218,2,2025,1823173748.15
,,314218,3,2025,2680628125.23
,,314242,1,2025,53490724.26
,,314242,2,2025,119881307.05
,,314242,3,2025,184875247.85
,,314251,1,2025,109814486.02
,,314251,2,2025,203438236.3
,,314251,3,2025,302330377.52
,,314315,1,2025,14733987.44
,,314315,2,2025,34553503.28
,,314315,3,2025,53594523.69
,,314366,1,2025,5408363.57
,,314366,2,2025,9941826.879999999
,,314366,3,2025,15055543.36
,,314587,1,2025,64172218.44
,,314587,2,2025,121084329.36
,,314587,3,2025,187057169.14000002
,,314668,1,2025,316313653.74
,,314668,2,2025,616323691.55
,,314668,3,2025,878362731.88
,,314706,1,2025,16536868.35
,,314706,2,2025,33067311.84
,,314706,3,2025,52802133.02
,,314781,1,2025,47939107.98
,,314781,2,2025,86888007.09
,,314781,3,2025,136769745.57
,,315044,1,2025,318758025.93
,,315044,2,2025,649557897.34
,,315044,3,2025,967572858.01
,,315265,1,2025,119564880.31
,,315265,2,2025,225156130.51000002
,,315265,3,2025,336632574.01
,,315478,1,2025,2339623575.88
,,315478,2,2025,4501336774.54
,,315478,3,2025,6630414499.9
,,315494,1,2025,60388920.33
,,315494,2,2025,110727270.45
,,315494,3,2025,174926214.76
,,315567,1,2025,239429174.68
,,315567,2,2025,486712208.58000004
,,315567,3,2025,716618328.98
,,315583,1,2025,62564346.33
,,315583,2,2025,89234849.86
,,315583,3,2025,123696948.67999999
,,315648,1,2025,72443185.96
,,315648,2,2025,128230245.12
,,315648,3,2025,191623608.74
,,315729,1,2025,885519642.89
,,315729,2,2025,1760804244.78
,,315729,3,2025,2657698323.21
,,315796,1,2025,667077564.11
,,315796,2,2025,1300143336.42
,,315796,3,2025,2040090924.49
,,316148,1,2025,171852160.39
,,316148,2,2025,343262195.74
,,316148,3,2025,527636466.71
,,316458,1,2025,41425400.07
,,316458,2,2025,78584870.53
,,316458,3,2025,113737460.72999999
,,316849,1,2025,9096246.23
,,316849,2,2025,18326848.89
,,316849,3,2025,34043908.260000005
,,316873,1,2025,204404149.25
,,316873,2,2025,383875296.33000004
,,316873,3,2025,568907276.35
,,316881,1,2025,248775655.97
,,316881,2,2025,446344689.89
,,316881,3,2025,652441963.7
,,316903,1,2025,1005578.89
,,316903,2,2025,1663731.69
,,316903,3,2025,2255661.63
,,316997,1,2025,8805095.41
,,316997,2,2025,17600390.07
,,316997,3,2025,27391927.89
,,317012,1,2025,94084445.10000001
,,317012,2,2025,169444624.93
,,317012,3,2025,251992186.6
,,317144,1,2025,3756375583.41
,,317144,2,2025,7319045931.29
,,317144,3,2025,10995600401.35
,,317233,1,2025,398238579.35
,,317233,2,2025,886383678.3000001
,,317233,3,2025,1416786119.03
,,317632,1,2025,434039456.21000004
,,317632,2,2025,887425091.14
,,317632,3,2025,1352443071.46
,,317896,1,2025,83821861.45
,,317896,2,2025,128127316.3
,,317896,3,2025,183476495.27
,,318035,1,2025,93597380.38
,,318035,2,2025,172431293.17
,,318035,3,2025,261863678.71
,,318213,1,2025,85028252.97
,,318213,2,2025,159630726.5
,,318213,3,2025,258255932.28
,,318299,1,2025,393618478.49
,,318299,2,2025,756574086.3
,,318388,1,2025,155109749.55
,,318388,2,2025,318151789.15
,,318388,3,2025,494265014.95
,,318477,1,2025,148815840.71
,,318477,2,2025,260272544.26999998
,,318477,3,2025,368045238.88
,,318566,1,2025,219130470.79
,,318566,2,2025,415028230.51
,,318566,3,2025,603355871.59
,,319121,1,2025,1024373902.2
,,319121,2,2025,1894056041.68
,,319121,3,2025,2841723540.85
,,319180,1,2025,85553187.92
,,319180,2,2025,161245525.26
,,319180,3,2025,249711821.67
,,319384,1,2025,285090628.63
,,319384,2,2025,528700055.9
,,319384,3,2025,782982357.21
,,319422,1,2025,105097485.05
,,319422,2,2025,217099521.92000002
,,319422,3,2025,331967179.26
,,319708,1,2025,426879648.05
,,319708,2,2025,789606963.5600001
,,319708,3,2025,1171965421.88
,,319872,1,2025,9384320.72
,,319872,2,2025,15401463.14
,,319872,3,2025,20651730.35
,,319996,1,2025,2164018972.39
,,319996,2,2025,3863656127.2
,,319996,3,2025,5795792905.0199995
,,320251,1,2025,347502357.26
,,320251,2,2025,623257635.91
,,320251,3,2025,1014934623.41
,,320510,2,2025,84985989.05
,,320510,3,2025,116296949.48
,,320706,1,2025,587876193.23
,,320706,2,2025,1144571833.98
,,320706,3,2025,1703205539.66
,,320820,1,2025,67248850.28
,,320820,2,2025,139623956.0
,,320820,3,2025,216215123.59
,,320838,1,2025,17779763.81
,,320838,2,2025,31863473.830000002
,,320838,3,2025,48953230.01
,,320862,1,2025,166734082.21
,,320862,2,2025,311301482.88
,,320862,3,2025,464372229.94
,,320897,1,2025,120585682.53
,,320897,2,2025,231750908.47
,,320897,3,2025,370395810.05
,,321044,1,2025,1420517819.31
,,321044,2,2025,2771242618.35
,,321044,3,2025,4200593041.2000003
,,321087,1,2025,77513433.02
,,321087,2,2025,157301157.18
,,321087,3,2025,243454492.18
,,321125,1,2025,25524390.24
,,321125,2,2025,50221051.330000006
,,321125,3,2025,77732354.45
,,321273,1,2025,874448205.98
,,321273,2,2025,1731150036.57
,,321273,3,2025,2619169931.55
,,321320,1,2025,43948858.9
,,321320,2,2025,83999495.75999999
,,321320,3,2025,123570767.86999999
,,321338,1,2025,42360693.78
,,321338,2,2025,42929793.78
,,321338,3,2025,43591793.78
,,321931,1,2025,52734279.78
,,321931,2,2025,118757732.59
,,321931,3,2025,193132062.49
,,321958,1,2025,411478572.03
,,321958,2,2025,849641243.12
,,321958,3,2025,1296027841.82
,,322326,1,2025,18986795.69
,,322326,2,2025,31857757.07
,,322326,3,2025,47039291.53
,,322571,1,2025,209460193.97
,,322571,2,2025,385021396.13
,,322571,3,2025,563652058.18
,,322831,1,2025,115942642.15
,,322831,2,2025,244319140.94
,,322831,3,2025,383343960.53
,,322890,1,2025,7748976.739999999
,,322890,2,2025,14582417.82
,,322890,3,2025,21937279.16
,,323004,1,2025,25975918.43
,,323004,2,2025,51750002.76
,,323004,3,2025,86949411.22
,,323055,1,2025,92179906.89
,,323055,2,2025,168212423.62
,,323055,3,2025,254868706.89000002
,,323080,1,2025,8950347605.08
,,323080,2,2025,16192394622.66
,,323080,3,2025,24366039706.31
,,323268,1,2025,539052848.97
,,323268,2,2025,1044950722.68
,,323268,3,2025,1576920692.18
,,323357,1,2025,124183907.05
,,323357,2,2025,232921462.72
,,323357,3,2025,359265456.78
,,323926,1,2025,137118639.65
,,323926,2,2025,271082444.6
,,323926,3,2025,400198809.5
,,323942,1,2025,54673634.53
,,323942,2,2025,108507388.14
,,323942,3,2025,161542250.14000002
,,323993,1,2025,279782051.5
,,323993,2,2025,605120989.13
,,323993,3,2025,963773280.3
,,324159,1,2025,100539994.43
,,324159,2,2025,200011510.76
,,324159,3,2025,305908526.05
,,324175,1,2025,41962982.46
,,324175,2,2025,86075094.54
,,324175,3,2025,142638646.25
,,324213,1,2025,58649807.699999996
,,324213,2,2025,64520212.39
,,324213,3,2025,70296476.57
,,324299,1,2025,52032483.35
,,324299,2,2025,91815029.87
,,324299,3,2025,121187165.25
,,324345,1,2025,212469003.74
,,324345,2,2025,405725037.31
,,324345,3,2025,617437813.39
,,324361,1,2025,392140797.54
,,324361,2,2025,738449479.46
,,324361,3,2025,1078720856.13
,,324477,1,2025,521078908.76
,,324477,2,2025,897385533.83
,,324477,3,2025,1312648940.47
,,324493,1,2025,320575470.09
,,324493,2,2025,583955718.22
,,324493,3,2025,863700847.3900001
,,324523,1,2025,87489.18
,,324523,2,2025,104896.18
,,324523,3,2025,118507.03
,,324566,1,2025,143328963.61
,,324566,2,2025,268878332.97
,,324566,3,2025,388483024.88
,,325031,1,2025,130768069.27
,,325031,2,2025,250028263.75
,,325031,3,2025,360740893.74
,,325082,1,2025,38321027.75
,,325082,2,2025,47185073.31
,,325082,3,2025,79169307.22
,,325236,1,2025,129403393.59
,,325236,2,2025,245477043.94
,,325236,3,2025,391685222.59999996
,,325465,1,2025,58385066.22
,,325465,2,2025,100354778.22
,,325465,3,2025,151079048.42000002
,,325571,1,2025,1402458409.57
,,325571,2,2025,2780219200.48
,,325571,3,2025,4283064617.14
,,326305,1,2025,35916482464.71
,,326305,2,2025,65604955052.4
,,326305,3,2025,95223563156.1
,,326500,1,2025,536872844.25
,,326500,2,2025,1005377054.0600001
,,326500,3,2025,1477128137.21
,,326755,1,2025,298127589.58
,,326755,2,2025,601981157.37
,,326755,3,2025,910651228.8
,,326861,1,2025,403813609.14000005
,,326861,2,2025,771246584.34
,,326861,3,2025,1125344140.1
,,327328,1,2025,1682643.63
,,327328,2,2025,3125020.66
,,327328,3,2025,4940082.96
,,327352,1,2025,73312663.62
,,327352,2,2025,131232295.64
,,327352,3,2025,195368500.19
,,327417,1,2025,353914468.34
,,327417,2,2025,682724315.36
,,327417,3,2025,1036780903.39
,,327468,1,2025,39481145.87
,,327468,2,2025,67156723.01
,,327468,3,2025,103007091.1
,,327557,1,2025,165034631.13
,,327557,2,2025,306876311.46999997
,,327557,3,2025,438854744.7
,,327638,1,2025,27882506.74
,,327638,2,2025,49428645.29
,,327638,3,2025,77493172.28
,,327689,1,2025,1523642763.19
,,327689,2,2025,2806014180.54
,,327689,3,2025,4125884681.54
,,328031,1,2025,1034556.9
,,328031,2,2025,869795.6000000001
,,328031,3,2025,869795.6000000001
,,328294,1,2025,188093295.26999998
,,328294,2,2025,343039078.02
,,328294,3,2025,504514625.8
,,328308,1,2025,56864338.17
,,328308,2,2025,116492001.39
,,328308,3,2025,181256655.79000002
,,328375,1,2025,40561428.65
,,328375,2,2025,75333135.96000001
,,328375,3,2025,113717306.36
,,328537,1,2025,239642334.33
,,328537,2,2025,436866150.69
,,328537,3,2025,658487241.63
,,329339,1,2025,463569727.3
,,329339,2,2025,917250394.53
,,329339,3,2025,1389473996.35
,,329355,1,2025,64866751.45
,,329355,2,2025,133395897.27
,,329355,3,2025,208696473.06
,,329665,2,2025,82241871.45
,,329665,3,2025,145585489.87
,,329886,1,2025,140060759.16
,,329886,2,2025,276429310.53000003
,,329886,3,2025,422774771.84000003
,,330108,1,2025,181154952.8
,,330108,2,2025,340059777.72
,,330108,3,2025,504409095.72
,,330116,1,2025,67204349.15
,,330116,2,2025,124475674.6
,,330116,3,2025,183824359.73
,,330264,1,2025,169679015.88
,,330264,2,2025,340834396.74
,,330264,3,2025,522270449.92
,,330281,1,2025,64239413.260000005
,,330281,2,2025,126263236.44
,,330281,3,2025,189443028.69
,,330566,1,2025,147404331.06
,,330566,2,2025,310729823.76
,,330566,3,2025,486385735.34
,,330809,1,2025,179712387.61
,,330809,2,2025,270937326.21
,,330809,3,2025,397055694.0
,,330892,1,2025,35529684.86
,,330892,2,2025,69826424.11
,,330892,3,2025,102871981.27
,,331104,1,2025,7270589.16
,,331104,2,2025,8217249.57
,,331104,3,2025,12202437.78
,,331317,1,2025,490368837.45
,,331317,2,2025,968810861.36
,,331317,3,2025,1440513447.14
,,331341,1,2025,314938241.97
,,331341,2,2025,612207719.63
,,331341,3,2025,923727439.5699999
,,331651,1,2025,134791901.05
,,331651,2,2025,260748706.31
,,331651,3,2025,391800032.76
,,331872,1,2025,965255066.72
,,331872,2,2025,1836666600.7
,,331872,3,2025,2760158080.24
,,331988,1,2025,816624191.26
,,331988,2,2025,1451750859.3
,,331988,3,2025,2139976104.75
,,333051,1,2025,346827130.15
,,333051,2,2025,703104217.29
,,333051,3,2025,1060083038.78
,,333239,1,2025,1686920.15
,,333239,2,2025,3186848.08
,,333239,3,2025,4781180.72
,,333662,1,2025,288998331.15
,,333662,2,2025,565045644.48
,,333662,3,2025,871983278.66
,,333689,1,2025,527204704.15
,,333689,2,2025,1000290571.76
,,333689,3,2025,1437079490.98
,,333808,1,2025,77675223.88
,,333808,2,2025,148018471.76
,,333808,3,2025,232356656.26
,,333867,1,2025,27610120.38
,,333867,2,2025,46853167.05
,,333867,3,2025,64846348.96
,,333875,1,2025,66943033.910000004
,,333875,2,2025,134719242.23000002
,,333875,3,2025,209482443.13
,,334154,1,2025,132593091.34
,,334154,2,2025,255180031.39
,,334154,3,2025,384994231.11
,,334243,1,2025,8881135.41
,,334243,2,2025,18773121.49
,,334243,3,2025,29188984.34
,,334511,1,2025,4570857.11
,,334511,2,2025,7852492.0200000005
,,334511,3,2025,9254223.43
,,334561,1,2025,1077257549.56
,,334561,2,2025,2079626409.0700002
,,334561,3,2025,3187100363.11
,,334847,1,2025,34260362.14
,,334847,2,2025,57678886.6
,,334847,3,2025,90971920.14
,,335100,1,2025,1972787229.47
,,335100,2,2025,3770841453.24
,,335100,3,2025,5722555553.83
,,335215,1,2025,213482236.57
,,335215,2,2025,430262377.15000004
,,335215,3,2025,652742174.84
,,335258,1,2025,31783926.7
,,335258,2,2025,59320618.69
,,335258,3,2025,90504005.67
,,335479,1,2025,596981089.0600001
,,335479,2,2025,1155841000.81
,,335479,3,2025,1672336385.97
,,335517,1,2025,143133103.71
,,335517,2,2025,257947937.76999998
,,335517,3,2025,389252200.02
,,335541,1,2025,134651338.79
,,335541,2,2025,212963746.03
,,335541,3,2025,276861022.86
,,335592,1,2025,1778021072.3500001
,,335592,2,2025,3294115788.29
,,335592,3,2025,4862213860.55
,,335614,1,2025,2112091532.98
,,335614,2,2025,4126138418.83
,,335614,3,2025,6632034586.38
,,335657,1,2025,38456464.33
,,335657,2,2025,77377080.28
,,335657,3,2025,116375894.88
,,335690,1,2025,4433535177.17
,,335690,2,2025,8685499206.13
,,335690,3,2025,13093701233.75
,,335754,1,2025,148677215.27
,,335754,2,2025,288098577.69
,,335754,3,2025,442634212.73
,,335789,1,2025,48916355.56
,,335789,2,2025,80707331.71
,,335789,3,2025,116468730.34
,,336017,1,2025,11371083.11
,,336017,2,2025,10829274.709999999
,,336017,3,2025,17038806.68
,,336106,1,2025,552985096.64
,,336106,2,2025,1056604286.11
,,336106,3,2025,1574313487.09
,,336467,1,2025,29784290.669999998
,,336467,2,2025,53031332.19
,,336467,3,2025,82571236.9
,,336831,1,2025,177905406.22
,,336831,2,2025,361235575.1
,,336831,3,2025,558556514.61
,,336858,1,2025,2094329386.23
,,336858,2,2025,6881904253.49
,,336858,3,2025,7028346327.89
,,337188,1,2025,450715298.28
,,337188,2,2025,887735003.9300001
,,337188,3,2025,1314271534.59
,,337374,1,2025,477046265.09
,,337374,2,2025,933451643.46
,,337374,3,2025,1409178610.79
,,337498,1,2025,111017310.04
,,337498,2,2025,197317412.29
,,337498,3,2025,294136027.17
,,337561,1,2025,26092354.97
,,337561,2,2025,50211835.59
,,337561,3,2025,75441047.84
,,337668,1,2025,896723098.8599999
,,337668,2,2025,1594477085.7
,,337668,3,2025,2291702255.27
,,337871,1,2025,305896215.28
,,337871,2,2025,549012006.1800001
,,337871,3,2025,810116810.89
,,338346,1,2025,101769153.72
,,338346,2,2025,206489427.27
,,338346,3,2025,312752440.54
,,338648,1,2025,355051682.2
,,338648,2,2025,504917604.01
,,338648,3,2025,734398067.76
,,339458,1,2025,6611357.93
,,339458,2,2025,12665873.07
,,339458,3,2025,18603764.88
,,339679,1,2025,12469460116.82
,,339679,2,2025,22058301933.19
,,339679,3,2025,31696774255.579998
,,339954,1,2025,1081906568.29
,,339954,2,2025,2012674480.92
,,339954,3,2025,3029513543.25
,,340162,1,2025,11642780.9
,,340162,2,2025,18875895.830000002
,,340162,3,2025,18371936.64
,,340251,1,2025,120963256.7
,,340251,2,2025,229117776.47
,,340251,3,2025,328015012.61
,,340782,1,2025,1020407874.85
,,340782,2,2025,2261012001.12
,,340782,3,2025,3221830807.32
,,340952,1,2025,588611708.14
,,340952,2,2025,1158791403.05
,,340952,3,2025,1732427687.1200001
,,341819,1,2025,1536933.29
,,341819,2,2025,2117368.79
,,341819,3,2025,3139409.81
,,341941,1,2025,31124536.33
,,341941,2,2025,54535653.12
,,341941,3,2025,75640664.53
,,342033,1,2025,1161069094.29
,,342033,2,2025,2158178168.26
,,342033,3,2025,3242454212.9700003
,,342084,1,2025,2169187866.91
,,342084,2,2025,3954693663.14
,,342084,3,2025,5738212416.73
,,342131,1,2025,53588535.98
,,342131,2,2025,104413710.63
,,342131,3,2025,203153348.4
,,342157,1,2025,18383315.67
,,342157,2,2025,39676295.31
,,342157,3,2025,61044502.43
,,342203,1,2025,28326582.490000002
,,342203,2,2025,52994443.86
,,342203,3,2025,79021548.74
,,342343,1,2025,91401233.25999999
,,342343,2,2025,171043945.69
,,342343,3,2025,254929608.02
,,342386,1,2025,82099987.48
,,342386,2,2025,156072664.93
,,342386,3,2025,237673572.46
,,342556,1,2025,290332133.12
,,342556,2,2025,624747214.0600001
,,342556,3,2025,984734654.0699999
,,342611,1,2025,239682451.22
,,342611,2,2025,503847895.25
,,342611,3,2025,765340083.24
,,342807,1,2025,254339802.83
,,342807,2,2025,486576781.2
,,342807,3,2025,741496897.66
,,342955,1,2025,6237541.92
,,342955,2,2025,11582396.370000001
,,342955,3,2025,17194582.61
,,343056,1,2025,6443094.37
,,343056,2,2025,12208771.53
,,343056,3,2025,18881730.46
,,343064,1,2025,131109978.86
,,343064,2,2025,245161657.82999998
,,343064,3,2025,354512973.59999996
,,343129,1,2025,47800078.19
,,343129,2,2025,85266665.24
,,343129,3,2025,125831363.95
,,343153,1,2025,20902809.07
,,343153,2,2025,36200124.82
,,343153,3,2025,49791507.86
,,343269,1,2025,1570246459.82
,,343269,2,2025,2917268429.45
,,343269,3,2025,4389257368.77
,,343331,1,2025,140132211.94
,,343331,2,2025,243394077.68
,,343331,3,2025,350549090.73
,,343404,1,2025,2956717.84
,,343404,2,2025,5736590.66
,,343404,3,2025,8227376.25
,,343463,1,2025,98893981.22999999
,,343463,2,2025,197744952.0
,,343463,3,2025,309874696.29
,,343676,1,2025,90501986.03999999
,,343676,2,2025,168444811.01999998
,,343676,3,2025,251253320.78
,,343684,1,2025,96679746.2
,,343684,2,2025,171210361.4
,,343684,3,2025,254664621.57
,,343722,1,2025,23542372.03
,,343722,2,2025,47582528.95
,,343722,3,2025,71433100.73
,,343731,1,2025,1678424284.94
,,343731,2,2025,2718338467.14
,,343731,3,2025,4149665915.57
,,343765,1,2025,44455134.019999996
,,343765,2,2025,84167714.59
,,343765,3,2025,123823356.28999999
,,343889,1,2025,8596934576.869999
,,343889,2,2025,16199459713.21
,,343889,3,2025,24441994030.09
,,344141,1,2025,9996142.89
,,344141,2,2025,19679845.509999998
,,344141,3,2025,30120142.509999998
,,344184,1,2025,6293515.75
,,344184,2,2025,14281428.95
,,344184,3,2025,19241628.05
,,344362,1,2025,279035670.42
,,344362,2,2025,531577994.46
,,344362,3,2025,779353972.75
,,344397,1,2025,602339664.14
,,344397,2,2025,1102314333.1
,,344397,3,2025,1562735519.62
,,344451,1,2025,24321128.419999998
,,344451,2,2025,51478520.74
,,344451,3,2025,81662665.3
,,344729,1,2025,245985697.64
,,344729,2,2025,450995759.14
,,344729,3,2025,657599756.96
,,344788,1,2025,23327501.83
